"[0, 35059/106080, 83663/212160, 14369/26520, 40889/53040]","[0, 1, 128497/142042, 1676/2449, 838/2449]"
"[0, 35059/106080, 83663/212160, 14369/26520, 40889/53040]","[0, 70118/83663, 1, 97208/128497, 48604/128497]"
"[0, 35059/106080, 83663/212160, 14369/26520, 40889/53040]","[0, 35059/57476, 83663/114952, 1, 1/2]"
"[0, 35059/106080, 83663/212160, 14369/26520, 40889/53040]","[0, 35059/81778, 83663/163556, 28738/40889, 1]"
"[0, 643/1680, 477/1120, 223/420, 643/840]","[0, 1, 1929/2074, 788/1037, 394/1037]"
"[0, 643/1680, 477/1120, 223/420, 643/840]","[0, 1286/1431, 1, 1576/1929, 788/1929]"
"[0, 643/1680, 477/1120, 223/420, 643/840]","[0, 643/892, 1431/1784, 1, 1/2]"
"[0, 643/1680, 477/1120, 223/420, 643/840]","[0, 1/2, 1431/2572, 446/643, 1]"
"[0, 41/100, 443/1000, 131/250, 381/500]","[0, 1, 557/590, 238/295, 119/295]"
"[0, 41/100, 443/1000, 131/250, 381/500]","[0, 410/443, 1, 476/557, 238/557]"
"[0, 41/100, 443/1000, 131/250, 381/500]","[0, 205/262, 443/524, 1, 1/2]"
"[0, 41/100, 443/1000, 131/250, 381/500]","[0, 205/381, 443/762, 262/381, 1]"
"[0, 979/3120, 7193/18720, 319/585, 1649/2340]","[0, 1, 11527/12846, 4256/6423, 2764/6423]"
"[0, 979/3120, 7193/18720, 319/585, 1649/2340]","[0, 5874/7193, 1, 8512/11527, 5528/11527]"
"[0, 979/3120, 7193/18720, 319/585, 1649/2340]","[0, 267/464, 7193/10208, 1, 691/1064]"
"[0, 979/3120, 7193/18720, 319/585, 1649/2340]","[0, 2937/6596, 7193/13192, 1276/1649, 1]"
"[0, 39413/118560, 93781/237120, 2006/3705, 39413/59280]","[0, 1, 143339/158294, 54368/79147, 39734/79147]"
"[0, 39413/118560, 93781/237120, 2006/3705, 39413/59280]","[0, 78826/93781, 1, 108736/143339, 79468/143339]"
"[0, 39413/118560, 93781/237120, 2006/3705, 39413/59280]","[0, 39413/64192, 93781/128384, 1, 19867/27184]"
"[0, 39413/118560, 93781/237120, 2006/3705, 39413/59280]","[0, 1/2, 93781/157652, 32096/39413, 1]"
"[0, 5117/13800, 11573/27600, 306/575, 9047/13800]","[0, 1, 16027/17366, 6456/8683, 4753/8683]"
"[0, 5117/13800, 11573/27600, 306/575, 9047/13800]","[0, 10234/11573, 1, 12912/16027, 9506/16027]"
"[0, 5117/13800, 11573/27600, 306/575, 9047/13800]","[0, 301/432, 11573/14688, 1, 4753/6456]"
"[0, 5117/13800, 11573/27600, 306/575, 9047/13800]","[0, 5117/9047, 11573/18094, 7344/9047, 1]"
"[0, 749/2664, 3155/10656, 353/666, 1645/2664]","[0, 1, 7501/7660, 1252/1915, 1019/1915]"
"[0, 749/2664, 3155/10656, 353/666, 1645/2664]","[0, 2996/3155, 1, 5008/7501, 4076/7501]"
"[0, 749/2664, 3155/10656, 353/666, 1645/2664]","[0, 749/1412, 3155/5648, 1, 1019/1252]"
"[0, 749/2664, 3155/10656, 353/666, 1645/2664]","[0, 107/235, 631/1316, 1412/1645, 1]"
"[0, 251/870, 2143/6960, 467/870, 2143/3480]","[0, 1, 4817/4952, 403/619, 1337/2476]"
"[0, 251/870, 2143/6960, 467/870, 2143/3480]","[0, 2008/2143, 1, 3224/4817, 2674/4817]"
"[0, 251/870, 2143/6960, 467/870, 2143/3480]","[0, 251/467, 2143/3736, 1, 1337/1612]"
"[0, 251/870, 2143/6960, 467/870, 2143/3480]","[0, 1004/2143, 1/2, 1868/2143, 1]"
"[0, 89/273, 821/2080, 571/1092, 3313/5460]","[0, 1, 26439/29440, 521/736, 2147/3680]"
"[0, 89/273, 821/2080, 571/1092, 3313/5460]","[0, 14240/17241, 1, 20840/26439, 17176/26439]"
"[0, 89/273, 821/2080, 571/1092, 3313/5460]","[0, 356/571, 17241/22840, 1, 2147/2605]"
"[0, 89/273, 821/2080, 571/1092, 3313/5460]","[0, 1780/3313, 17241/26504, 2855/3313, 1]"
"[0, 101/360, 1349/4320, 143/270, 701/1080]","[0, 1, 2971/3108, 508/777, 379/777]"
"[0, 101/360, 1349/4320, 143/270, 701/1080]","[0, 1212/1349, 1, 2032/2971, 1516/2971]"
"[0, 101/360, 1349/4320, 143/270, 701/1080]","[0, 303/572, 1349/2288, 1, 379/508]"
"[0, 101/360, 1349/4320, 143/270, 701/1080]","[0, 303/701, 1349/2804, 572/701, 1]"
"[0, 319/1110, 969/2960, 119/222, 969/1480]","[0, 1, 5973/6328, 515/791, 219/452]"
"[0, 319/1110, 969/2960, 119/222, 969/1480]","[0, 2552/2907, 1, 4120/5973, 1022/1991]"
"[0, 319/1110, 969/2960, 119/222, 969/1480]","[0, 319/595, 171/280, 1, 1533/2060]"
"[0, 319/1110, 969/2960, 119/222, 969/1480]","[0, 1276/2907, 1/2, 140/171, 1]"
"[0, 8095/26622, 28153/70992, 6971/13311, 11993/17748]","[0, 1, 128517/148216, 12680/18527, 17265/37054]"
"[0, 8095/26622, 28153/70992, 6971/13311, 11993/17748]","[0, 64760/84459, 1, 101440/128517, 23020/42839]"
"[0, 8095/26622, 28153/70992, 6971/13311, 11993/17748]","[0, 8095/13942, 84459/111536, 1, 3453/5072]"
"[0, 8095/26622, 28153/70992, 6971/13311, 11993/17748]","[0, 16190/35979, 28153/47972, 27884/35979, 1]"
"[0, 19/66, 809/2640, 59/110, 85/132]","[0, 1, 1831/1880, 153/235, 1/2]"
"[0, 19/66, 809/2640, 59/110, 85/132]","[0, 760/809, 1, 1224/1831, 940/1831]"
"[0, 19/66, 809/2640, 59/110, 85/132]","[0, 95/177, 809/1416, 1, 235/306]"
"[0, 19/66, 809/2640, 59/110, 85/132]","[0, 38/85, 809/1700, 354/425, 1]"
"[0, 359/1200, 1559/4800, 41/75, 1559/2400]","[0, 1, 3241/3364, 544/841, 1/2]"
"[0, 359/1200, 1559/4800, 41/75, 1559/2400]","[0, 1436/1559, 1, 2176/3241, 1682/3241]"
"[0, 359/1200, 1559/4800, 41/75, 1559/2400]","[0, 359/656, 1559/2624, 1, 841/1088]"
"[0, 359/1200, 1559/4800, 41/75, 1559/2400]","[0, 718/1559, 1/2, 1312/1559, 1]"
"[0, 1504/4641, 4117/10608, 2476/4641, 6145/9282]","[0, 1, 45437/50192, 2165/3137, 1/2]"
"[0, 1504/4641, 4117/10608, 2476/4641, 6145/9282]","[0, 24064/28819, 1, 34640/45437, 25096/45437]"
"[0, 1504/4641, 4117/10608, 2476/4641, 6145/9282]","[0, 376/619, 28819/39616, 1, 3137/4330]"
"[0, 1504/4641, 4117/10608, 2476/4641, 6145/9282]","[0, 3008/6145, 28819/49160, 4952/6145, 1]"
"[0, 165639/543400, 276449/815100, 224797/407550, 1191037/1630200]","[0, 1, 1077302/1133283, 731012/1133283, 439163/1133283]"
"[0, 165639/543400, 276449/815100, 224797/407550, 1191037/1630200]","[0, 496917/552898, 1, 365506/538651, 439163/1077302]"
"[0, 165639/543400, 276449/815100, 224797/407550, 1191037/1630200]","[0, 496917/899188, 276449/449594, 1, 439163/731012]"
"[0, 165639/543400, 276449/815100, 224797/407550, 1191037/1630200]","[0, 496917/1191037, 552898/1191037, 899188/1191037, 1]"
"[0, 2569/8160, 1487/4080, 7469/13600, 1487/2040]","[0, 1, 5186/5591, 18393/27955, 2212/5591]"
"[0, 2569/8160, 1487/4080, 7469/13600, 1487/2040]","[0, 2569/2974, 1, 18393/25930, 1106/2593]"
"[0, 2569/8160, 1487/4080, 7469/13600, 1487/2040]","[0, 1835/3201, 14870/22407, 1, 11060/18393]"
